CustomerID,Gender,Age,SeniorCitizen,TenureMonths,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SupportTickets,SatisfactionScore,Churn
CUST100000,Female,61,1,51,89,4450.58,Month-to-month,Fiber,UPI,4,2,1
CUST100001,Male,23,0,14,123,1797.51,Month-to-month,DSL,UPI,3,4,0
CUST100002,Female,59,0,71,72,5109.13,One year,None,Credit Card,0,3,0
CUST100003,Male,42,0,60,191,11513.12,Two year,Fiber,Bank Transfer,1,5,0
CUST100004,Male,72,1,20,138,2716.03,Month-to-month,DSL,Bank Transfer,1,2,0
CUST100005,Male,74,1,23,93,2113.85,Two year,Fiber,Cash,1,3,0
CUST100006,Male,38,0,2,73,175.38,Month-to-month,DSL,Credit Card,3,2,0
CUST100007,Female,72,1,21,39,893.64,One year,DSL,UPI,3,3,0
CUST100008,Male,33,0,52,98,5105.29,Month-to-month,None,Bank Transfer,3,4,0
CUST100009,Female,48,0,1,50,8.66,Month-to-month,DSL,Credit Card,2,5,0
CUST100010,Male,31,0,29,154,4509.69,Two year,None,UPI,2,3,0
CUST100011,Female,56,0,37,77,2795.44,Month-to-month,Fiber,UPI,3,1,0
CUST100012,Female,45,0,1,124,189.1,Two year,None,UPI,1,2,0
CUST100013,Female,49,0,63,29,1880.09,Month-to-month,Fiber,UPI,3,3,0
CUST100014,Male,45,0,59,29,1673.09,Month-to-month,DSL,UPI,2,5,0
CUST100015,Male,68,1,20,58,1153.77,One year,Fiber,Cash,5,5,0
CUST100016,Female,72,1,32,175,5574.45,Month-to-month,DSL,UPI,2,5,0
CUST100017,Male,66,1,57,177,10108.01,Month-to-month,Fiber,Cash,2,3,0
CUST100018,Female,26,0,21,56,1199.47,Month-to-month,Fiber,UPI,1,3,0
CUST100019,Male,75,1,48,138,6538.25,Two year,Fiber,UPI,2,4,0
CUST100020,Male,62,1,58,86,5013.93,One year,Fiber,UPI,4,1,0
CUST100021,Male,39,0,41,62,2537.1,Month-to-month,Fiber,UPI,1,3,1
CUST100022,Female,49,0,59,71,4128.08,Month-to-month,Fiber,Cash,1,4,0
CUST100023,Female,22,0,14,120,1710.5,Month-to-month,Fiber,Credit Card,1,2,0
CUST100024,Male,40,0,61,75,4654.21,Month-to-month,Fiber,Bank Transfer,3,1,0
CUST100025,Female,22,0,61,95,5800.52,Two year,Fiber,Cash,0,5,0
CUST100026,Male,59,0,46,87,4071.87,One year,Fiber,Cash,3,1,0
CUST100027,Female,70,1,61,156,9557.05,Month-to-month,Fiber,Cash,0,2,0
CUST100028,Female,49,0,50,125,6291.62,Month-to-month,None,Credit Card,1,3,0
CUST100029,Female,27,0,54,144,7799.25,Two year,DSL,Bank Transfer,0,3,0
CUST100030,Male,56,0,63,111,6981.94,Month-to-month,DSL,Credit Card,0,4,1
CUST100031,Female,75,1,2,42,46.9,Two year,Fiber,Bank Transfer,0,3,0
CUST100032,Male,32,0,50,128,6553.75,Month-to-month,DSL,Bank Transfer,1,3,0
CUST100033,Male,24,0,6,80,488.63,One year,Fiber,Bank Transfer,2,1,0
CUST100034,Male,46,0,20,187,3747.69,One year,Fiber,Credit Card,1,2,0
CUST100035,Female,64,1,72,63,4590.32,One year,DSL,Bank Transfer,3,5,0
CUST100036,Female,20,0,38,171,6403.32,One year,None,UPI,2,5,0
CUST100037,Male,36,0,17,198,3394.79,Month-to-month,None,Cash,4,4,0
CUST100038,Female,27,0,3,180,607.39,Month-to-month,DSL,Bank Transfer,0,2,1
CUST100039,Male,45,0,59,35,2131.11,Two year,Fiber,Cash,3,1,0
CUST100040,Male,46,0,13,41,561.66,Month-to-month,DSL,Credit Card,4,5,0
CUST100041,Male,32,0,8,76,557.69,Two year,Fiber,Credit Card,1,4,0
CUST100042,Female,52,0,52,81,4256.94,One year,Fiber,UPI,4,3,1
CUST100043,Female,23,0,1,126,70.46,Month-to-month,Fiber,Bank Transfer,2,3,1
CUST100044,Female,29,0,59,90,5385.36,Two year,DSL,Cash,0,1,0
CUST100045,Male,64,1,70,109,7669.07,One year,Fiber,Cash,1,5,0
CUST100046,Female,55,0,43,91,3894.08,Month-to-month,Fiber,Cash,1,3,0
CUST100047,Male,30,0,7,89,676.97,Month-to-month,DSL,Credit Card,2,4,0
CUST100048,Male,46,0,46,49,2246.28,Two year,Fiber,Bank Transfer,2,4,0
CUST100049,Female,36,0,34,122,4152.99,One year,None,UPI,3,5,0
CUST100050,Female,20,0,35,170,5986.07,One year,Fiber,UPI,2,1,0
CUST100051,Male,25,0,49,51,2496.39,One year,Fiber,Credit Card,3,4,0
CUST100052,Male,25,0,3,105,303.95,Month-to-month,Fiber,Bank Transfer,1,2,1
CUST100053,Female,72,1,1,76,44.74,Two year,Fiber,UPI,1,4,0
CUST100054,Female,75,1,5,128,687.22,Month-to-month,DSL,UPI,3,1,1
CUST100055,Male,37,0,53,28,1486.17,Month-to-month,Fiber,Credit Card,1,4,0
CUST100056,Female,64,1,3,50,202.5,Month-to-month,Fiber,Cash,3,3,0
CUST100057,Female,21,0,53,90,4741.38,Month-to-month,Fiber,UPI,1,1,1
CUST100058,Male,68,1,62,156,9623.3,Month-to-month,DSL,Credit Card,2,3,0
CUST100059,Female,38,0,17,32,599.07,Month-to-month,DSL,UPI,1,3,0
CUST100060,Male,20,0,43,150,6396.4,Month-to-month,Fiber,UPI,2,5,0
CUST100061,Female,62,1,33,54,1754.38,Month-to-month,DSL,Credit Card,4,1,1
CUST100062,Male,25,0,61,40,2469.51,One year,Fiber,Credit Card,2,3,0
CUST100063,Male,40,0,13,83,1169.24,Month-to-month,DSL,Bank Transfer,2,5,0
CUST100064,Female,33,0,47,114,5376.41,Month-to-month,Fiber,UPI,3,5,0
CUST100065,Female,30,0,14,199,2733.1,One year,None,Cash,3,3,0
CUST100066,Female,20,0,71,53,3717.75,Month-to-month,Fiber,Cash,1,3,0
CUST100067,Female,65,1,61,140,8539.85,Month-to-month,DSL,Bank Transfer,2,2,0
CUST100068,Male,26,0,39,182,7130.07,Two year,DSL,Bank Transfer,1,1,0
CUST100069,Female,31,0,52,34,1720.7,Month-to-month,None,Credit Card,3,5,0
CUST100070,Female,30,0,23,139,3152.26,Month-to-month,Fiber,Cash,3,1,0
CUST100071,Male,70,1,25,115,2872.03,One year,DSL,UPI,1,5,0
CUST100072,Male,74,1,59,25,1510.49,One year,Fiber,Credit Card,3,4,0
CUST100073,Male,24,0,40,128,5055.47,Two year,DSL,UPI,1,4,0
CUST100074,Female,32,0,28,116,3129.8,Month-to-month,Fiber,Cash,2,5,1
CUST100075,Male,24,0,14,51,709.22,One year,DSL,Credit Card,3,2,0
CUST100076,Female,55,0,44,199,8891.99,One year,None,UPI,3,4,0
CUST100077,Male,51,0,64,102,6504.83,Month-to-month,Fiber,Bank Transfer,3,1,0
CUST100078,Female,58,0,70,175,12308.99,Month-to-month,DSL,UPI,0,3,0
CUST100079,Male,39,0,8,137,1044.84,One year,Fiber,UPI,0,1,0
CUST100080,Male,41,0,0,98,6.17,Month-to-month,DSL,Credit Card,5,1,0
CUST100081,Female,66,1,7,97,733.62,Month-to-month,DSL,Cash,0,1,0
CUST100082,Female,54,0,62,166,10285.44,Month-to-month,Fiber,UPI,1,5,0
CUST100083,Female,61,1,10,126,1200.23,Month-to-month,Fiber,UPI,0,5,1
CUST100084,Male,18,0,7,145,1018.08,Month-to-month,DSL,UPI,3,1,1
CUST100085,Female,27,0,34,34,1197.01,Month-to-month,Fiber,UPI,1,3,0
CUST100086,Male,60,1,34,153,5300.71,Month-to-month,Fiber,Bank Transfer,3,2,0
CUST100087,Female,33,0,32,92,2877.24,Two year,Fiber,Cash,1,2,0
CUST100088,Female,63,1,4,120,497.31,Month-to-month,DSL,Cash,7,4,1
CUST100089,Male,25,0,40,117,4637.71,Month-to-month,DSL,Credit Card,3,4,0
CUST100090,Male,73,1,27,185,5003.12,Two year,DSL,UPI,2,3,0
CUST100091,Female,66,1,6,45,227.09,Two year,DSL,Credit Card,1,1,0
CUST100092,Male,42,0,72,111,7958.56,Month-to-month,Fiber,Bank Transfer,2,5,0
CUST100093,Female,67,1,71,144,10305.01,Month-to-month,None,Bank Transfer,2,4,1
CUST100094,Female,29,0,11,198,2181.32,One year,DSL,UPI,4,1,0
CUST100095,Female,42,0,33,92,2971.5,Two year,Fiber,Credit Card,1,2,1
CUST100096,Female,34,0,32,142,4535.64,Month-to-month,DSL,Credit Card,5,3,0
CUST100097,Female,43,0,47,72,3417.0,Month-to-month,DSL,Cash,1,5,0
CUST100098,Female,63,1,22,97,2144.59,Two year,Fiber,Credit Card,2,5,0
CUST100099,Female,65,1,61,111,6794.33,Month-to-month,Fiber,Bank Transfer,1,4,1
CUST100100,Female,31,0,36,107,3947.32,One year,Fiber,Bank Transfer,2,1,0
CUST100101,Female,58,0,43,32,1424.67,One year,Fiber,UPI,2,5,0
CUST100102,Female,53,0,34,62,2177.86,Month-to-month,DSL,Credit Card,0,2,0
CUST100103,Female,74,1,64,95,6099.37,Month-to-month,Fiber,Credit Card,4,2,0
CUST100104,Male,40,0,46,70,3263.8,One year,Fiber,Bank Transfer,2,3,1
CUST100105,Male,60,1,2,38,41.54,One year,Fiber,UPI,3,3,0
CUST100106,Female,23,0,0,168,37.29,Two year,None,Cash,0,2,1
CUST100107,Female,64,1,4,141,642.03,One year,DSL,Cash,2,2,0
CUST100108,Female,22,0,13,43,569.99,Month-to-month,Fiber,UPI,1,1,0
CUST100109,Female,60,1,26,45,1149.13,One year,DSL,UPI,3,5,1
CUST100110,Male,42,0,8,192,1602.75,Month-to-month,Fiber,Cash,1,1,1
CUST100111,Male,35,0,14,175,2410.47,One year,Fiber,Bank Transfer,7,3,1
CUST100112,Male,30,0,41,139,5813.55,Month-to-month,DSL,Credit Card,2,3,0
CUST100113,Female,60,1,50,101,5066.76,One year,None,Cash,0,3,0
CUST100114,Male,31,0,62,119,7298.15,One year,DSL,UPI,3,5,0
CUST100115,Male,45,0,51,176,8998.55,One year,DSL,UPI,5,4,0
CUST100116,Male,35,0,3,36,178.67,Two year,Fiber,Credit Card,1,3,0
CUST100117,Male,74,1,22,87,1970.29,Month-to-month,DSL,UPI,1,3,0
CUST100118,Male,45,0,14,63,883.85,Month-to-month,DSL,Bank Transfer,1,1,0
CUST100119,Female,68,1,42,80,3367.57,Month-to-month,Fiber,UPI,2,1,0
CUST100120,Male,73,1,28,142,4032.16,Two year,Fiber,Credit Card,1,4,1
CUST100121,Male,44,0,35,112,3822.65,Month-to-month,None,Cash,4,4,0
CUST100122,Male,49,0,12,93,1088.31,Month-to-month,Fiber,Bank Transfer,2,4,0
CUST100123,Female,64,1,31,172,5296.76,Two year,Fiber,UPI,3,4,0
CUST100124,Male,26,0,70,86,6062.27,Two year,None,Credit Card,2,1,0
CUST100125,Male,57,0,58,130,7496.2,Two year,Fiber,Cash,0,3,0
CUST100126,Female,49,0,27,21,531.77,Month-to-month,DSL,Cash,1,1,0
CUST100127,Female,37,0,65,108,6997.53,Two year,Fiber,Credit Card,5,2,1
CUST100128,Male,45,0,41,196,7994.77,Month-to-month,DSL,Cash,4,2,0
CUST100129,Male,50,0,44,45,2033.47,One year,DSL,Cash,1,3,0
CUST100130,Male,21,0,61,118,7174.7,Month-to-month,Fiber,Cash,3,4,0
CUST100131,Female,63,1,56,46,2603.41,One year,None,Cash,2,3,0
CUST100132,Female,74,1,5,108,513.92,Month-to-month,Fiber,Credit Card,3,2,1
CUST100133,Male,51,0,27,165,4454.56,Month-to-month,DSL,Credit Card,1,3,0
CUST100134,Male,65,1,27,20,530.74,One year,Fiber,UPI,1,4,0
